StudentID,Name,Gender,DOB,Age,State,District,City,PinCode,Caste,Category,Medium,SchoolID,SchoolName,SchoolType,SchoolBoard,Class,Section,Stream,FatherName,MotherName,ParentEducationLevel,ParentOccupation,FamilyIncome,Math,Science,English,SocialScience,Hindi,Computer,GK,Sanskrit,EVS,Art,Total,Percentage,AttendancePercent,DisciplinaryNotes,ExtracurricularScore
S1239,Student_239,Female,27-07-2006,18,Bihar,District C,City Z,197462,SC,Urban,Regional,Sch119,School_19,Private,State,11,B,Commerce,Father_239,Mother_239,Secondary,Business,94891,45,35,67,49,58,57,99,54,56,43,563,56.3,78.87,Yes,10
S1240,Student_240,Female,18-02-2007,17,Rajasthan,District C,City X,538480,ST,Rural,English,Sch100,School_0,Private,State,10,B,Commerce,Father_240,Mother_240,PG,Farmer,19999,61,64,78,39,98,36,30,36,92,84,618,61.8,96.68,Yes,6
S1241,Student_241,Male,02-06-2008,16,Maharashtra,District B,City X,465036,GEN,Rural,Regional,Sch101,School_1,Govt,State,7,A,Science,Father_241,Mother_241,Secondary,Engineer,11376,52,79,30,64,57,74,83,79,89,87,694,69.4,51.75,No,2
S1242,Student_242,Female,13-12-2009,15,Delhi,District A,City Z,434977,ST,Urban,Regional,Sch102,School_2,Private,CBSE,6,A,Science,Father_242,Mother_242,PG,Laborer,56673,63,66,65,55,89,92,38,30,90,73,661,66.1,88.46,Yes,3
S1243,Student_243,Male,19-10-2004,20,Delhi,District A,City Y,622904,SC,Urban,English,Sch103,School_3,Govt,ICSE,9,B,Science,Father_243,Mother_243,Primary,Farmer,8476,45,42,57,66,34,66,65,73,90,75,613,61.3,86.14,Yes,8
S1244,Student_244,Male,08-03-2004,20,Maharashtra,District B,City X,365228,GEN,Urban,English,Sch104,School_4,Private,State,7,B,Science,Father_244,Mother_244,PG,Farmer,74902,63,54,64,37,44,45,66,78,74,43,568,56.8,98.2,No,1
S1245,Student_245,Female,19-02-2008,16,Delhi,District A,City Z,982297,ST,Rural,Regional,Sch105,School_5,Govt,State,6,C,Science,Father_245,Mother_245,Graduate,Laborer,96269,62,30,89,34,61,34,88,36,50,73,557,55.7,96.54,Yes,6
S1246,Student_246,Male,31-05-2008,16,West Bengal,District C,City X,569862,ST,Rural,Regional,Sch106,School_6,Private,CBSE,9,C,Arts,Father_246,Mother_246,None,Teacher,82994,97,78,91,73,81,58,50,32,73,70,703,70.3,88.11,Yes,3
S1247,Student_247,Male,19-01-2006,18,Maharashtra,District A,City X,887163,SC,Rural,Hindi,Sch107,School_7,Private,ICSE,7,B,Commerce,Father_247,Mother_247,Graduate,Teacher,67878,72,64,75,96,66,81,49,30,30,31,594,59.4,76.02,Yes,6
S1248,Student_248,Male,09-04-2004,20,Rajasthan,District C,City X,232201,ST,Urban,English,Sch108,School_8,Govt,CBSE,8,B,Science,Father_248,Mother_248,Graduate,Teacher,25615,93,82,90,78,44,52,30,80,73,34,656,65.6,60.21,Yes,3
S1249,Student_249,Male,01-03-2009,15,Uttar Pradesh,District A,City Z,259094,SC,Rural,Regional,Sch109,School_9,Private,State,9,A,Arts,Father_249,Mother_249,Secondary,Engineer,16164,47,81,94,65,70,35,88,67,91,41,679,67.9,77.26,No,8
S1250,Student_250,Female,16-06-2007,17,Bihar,District B,City Y,363749,OBC,Urban,English,Sch110,School_10,Private,CBSE,7,B,Science,Father_250,Mother_250,Primary,Farmer,44316,97,83,55,55,33,65,57,72,90,76,683,68.3,88.27,Yes,5
S1251,Student_251,Male,21-07-2009,15,Rajasthan,District A,City Y,177506,SC,Rural,Hindi,Sch111,School_11,Govt,State,11,C,Arts,Father_251,Mother_251,None,Business,73560,90,76,64,74,82,86,85,84,79,64,784,78.4,94.78,Yes,4
S1252,Student_252,Female,11-12-2005,19,Tamil Nadu,District A,City Y,864601,OBC,Rural,Regional,Sch112,School_12,Govt,ICSE,6,A,Science,Father_252,Mother_252,PG,Laborer,34559,49,72,86,90,56,62,38,86,70,48,657,65.7,89.49,No,9
S1253,Student_253,Male,26-05-2005,19,Karnataka,District A,City X,144130,GEN,Rural,Regional,Sch113,School_13,Govt,CBSE,7,C,Commerce,Father_253,Mother_253,Secondary,Farmer,67968,40,49,92,73,50,78,94,82,62,92,712,71.2,59.76,Yes,5
S1254,Student_254,Male,12-06-2008,16,Uttar Pradesh,District B,City Z,263402,ST,Urban,Regional,Sch114,School_14,Govt,State,8,C,Science,Father_254,Mother_254,Primary,Teacher,71800,75,62,33,33,89,70,65,62,41,37,567,56.7,79.98,Yes,4
S1255,Student_255,Male,30-08-2006,18,Tamil Nadu,District A,City X,954901,SC,Urban,English,Sch115,School_15,Govt,State,9,A,Science,Father_255,Mother_255,None,Laborer,14047,93,45,71,87,93,84,63,91,31,52,710,71,66.61,No,8
S1256,Student_256,Male,10-03-2005,19,Bihar,District B,City Y,246259,SC,Rural,Hindi,Sch116,School_16,Private,State,9,C,Commerce,Father_256,Mother_256,Graduate,Business,49985,57,36,74,55,76,55,61,40,50,42,546,54.6,50.46,Yes,8
S1257,Student_257,Female,23-06-2004,20,Delhi,District C,City Y,519007,ST,Urban,English,Sch117,School_17,Govt,State,9,B,Commerce,Father_257,Mother_257,Primary,Farmer,77123,77,99,68,58,83,66,95,81,43,52,722,72.2,60.01,No,8
S1258,Student_258,Female,18-02-2009,15,Maharashtra,District A,City Z,452580,ST,Urban,Regional,Sch118,School_18,Private,CBSE,8,C,Science,Father_258,Mother_258,Primary,Farmer,11577,64,50,94,38,60,46,54,30,63,60,559,55.9,55.66,Yes,4
S1259,Student_259,Male,18-04-2009,15,Bihar,District B,City X,301682,GEN,Urban,Hindi,Sch119,School_19,Private,State,6,A,Commerce,Father_259,Mother_259,Primary,Engineer,88171,37,65,51,65,46,61,80,43,93,59,600,60,92.14,No,1
S1260,Student_260,Male,13-08-2008,16,Rajasthan,District B,City Y,474485,GEN,Urban,Regional,Sch100,School_0,Govt,CBSE,9,A,Commerce,Father_260,Mother_260,Graduate,Farmer,8870,51,83,40,33,79,57,92,50,52,71,608,60.8,62.93,Yes,2
S1261,Student_261,Female,10-06-2007,17,Karnataka,District A,City Z,323034,SC,Urban,Regional,Sch101,School_1,Private,State,6,A,Arts,Father_261,Mother_261,PG,Farmer,39094,53,48,66,88,36,54,74,63,79,31,592,59.2,64.23,Yes,4
S1262,Student_262,Male,28-04-2008,16,Rajasthan,District C,City X,609394,GEN,Urban,English,Sch102,School_2,Private,CBSE,7,C,Commerce,Father_262,Mother_262,Secondary,Business,60329,95,54,80,66,57,76,55,43,43,40,609,60.9,98,No,10
S1263,Student_263,Male,29-05-2007,17,Uttar Pradesh,District B,City X,723982,OBC,Urban,Regional,Sch103,School_3,Govt,CBSE,11,B,Commerce,Father_263,Mother_263,PG,Business,14217,93,96,87,42,39,51,50,69,75,54,656,65.6,68.95,Yes,2
S1264,Student_264,Male,29-05-2008,16,Uttar Pradesh,District A,City Y,644061,GEN,Rural,Hindi,Sch104,School_4,Private,State,11,A,Science,Father_264,Mother_264,None,Laborer,88138,94,82,36,49,56,90,80,64,34,58,643,64.3,50.48,No,10
S1265,Student_265,Female,19-10-2008,16,Karnataka,District C,City Y,890671,GEN,Urban,Regional,Sch105,School_5,Govt,State,6,B,Science,Father_265,Mother_265,Secondary,Teacher,71141,43,77,37,46,42,73,53,71,95,51,588,58.8,64.19,No,3
S1266,Student_266,Female,22-05-2008,16,West Bengal,District B,City X,383007,SC,Urban,Regional,Sch106,School_6,Govt,State,6,A,Arts,Father_266,Mother_266,None,Business,27343,54,71,80,80,95,49,41,49,51,48,618,61.8,55.96,No,9
S1267,Student_267,Female,09-06-2007,17,Tamil Nadu,District B,City X,413559,OBC,Rural,English,Sch107,School_7,Govt,State,11,B,Science,Father_267,Mother_267,Graduate,Laborer,55822,32,76,52,84,89,79,40,89,99,70,710,71,55.14,No,9
S1268,Student_268,Male,11-01-2007,17,Tamil Nadu,District C,City Y,168968,GEN,Rural,Hindi,Sch108,School_8,Private,ICSE,9,B,Commerce,Father_268,Mother_268,PG,Farmer,18003,34,71,38,62,72,76,56,38,31,67,545,54.5,53.87,Yes,9
S1269,Student_269,Male,17-05-2008,16,Uttar Pradesh,District C,City X,593891,OBC,Rural,English,Sch109,School_9,Private,State,10,B,Commerce,Father_269,Mother_269,Primary,Laborer,64538,94,31,75,50,98,76,52,62,58,58,654,65.4,79.66,No,7
S1270,Student_270,Female,19-03-2005,19,Uttar Pradesh,District A,City Y,684718,OBC,Rural,Regional,Sch110,School_10,Private,State,10,A,Commerce,Father_270,Mother_270,Secondary,Laborer,37089,83,35,67,51,92,80,62,78,90,51,689,68.9,59.47,Yes,4
S1271,Student_271,Female,18-03-2006,18,Delhi,District A,City X,350072,OBC,Urban,English,Sch111,School_11,Private,State,8,C,Science,Father_271,Mother_271,Primary,Laborer,58595,48,75,42,54,99,84,67,97,45,37,648,64.8,68.06,Yes,1
S1272,Student_272,Female,11-09-2006,18,Maharashtra,District B,City Y,101515,ST,Rural,English,Sch112,School_12,Govt,CBSE,11,C,Commerce,Father_272,Mother_272,None,Laborer,88197,83,95,36,96,94,68,84,33,93,76,758,75.8,93.1,No,3
S1273,Student_273,Female,15-09-2006,18,Delhi,District C,City Z,197206,ST,Rural,English,Sch113,School_13,Private,State,11,C,Commerce,Father_273,Mother_273,Primary,Business,87318,39,69,40,41,96,43,99,77,43,35,582,58.2,71.22,No,8
S1274,Student_274,Male,16-11-2007,17,Delhi,District C,City Y,345282,ST,Urban,English,Sch114,School_14,Govt,CBSE,8,B,Arts,Father_274,Mother_274,Primary,Teacher,35029,45,87,79,44,83,98,71,45,72,36,660,66,95.78,Yes,4
S1275,Student_275,Female,18-10-2007,17,West Bengal,District C,City Y,859990,ST,Urban,Regional,Sch115,School_15,Private,CBSE,10,A,Arts,Father_275,Mother_275,Graduate,Laborer,84023,75,62,96,31,65,76,58,76,72,65,676,67.6,74.9,No,10
S1276,Student_276,Male,20-09-2005,19,Tamil Nadu,District B,City Z,507821,SC,Urban,Regional,Sch116,School_16,Private,CBSE,7,B,Arts,Father_276,Mother_276,Graduate,Engineer,56324,58,91,70,33,44,50,63,55,99,37,600,60,69.94,Yes,10
S1277,Student_277,Female,26-03-2006,18,West Bengal,District C,City X,942672,GEN,Rural,Hindi,Sch117,School_17,Private,CBSE,9,A,Science,Father_277,Mother_277,PG,Farmer,56962,44,41,58,74,47,44,86,99,84,75,652,65.2,87.52,No,2
S1278,Student_278,Male,26-05-2006,18,West Bengal,District C,City Z,105586,ST,Urban,English,Sch118,School_18,Private,ICSE,9,B,Commerce,Father_278,Mother_278,None,Farmer,44042,77,78,66,42,33,30,32,66,60,93,577,57.7,53.66,Yes,8
S1279,Student_279,Female,18-11-2008,16,Karnataka,District B,City Y,869565,SC,Rural,English,Sch119,School_19,Private,State,7,A,Commerce,Father_279,Mother_279,Graduate,Farmer,92601,40,34,85,84,40,39,35,51,69,60,537,53.7,54.47,Yes,7
S1280,Student_280,Female,11-02-2007,17,Tamil Nadu,District A,City X,655474,GEN,Urban,Hindi,Sch100,School_0,Govt,CBSE,7,A,Commerce,Father_280,Mother_280,Graduate,Farmer,81380,63,80,45,61,35,52,77,36,56,52,557,55.7,82.6,No,10
S1281,Student_281,Female,05-05-2006,18,Maharashtra,District A,City Z,651216,ST,Urban,English,Sch101,School_1,Private,State,10,A,Arts,Father_281,Mother_281,PG,Farmer,89859,65,98,73,51,80,47,93,71,81,90,749,74.9,74.35,Yes,9
S1282,Student_282,Female,16-06-2009,15,Rajasthan,District B,City X,853624,GEN,Rural,Hindi,Sch102,School_2,Private,CBSE,8,B,Commerce,Father_282,Mother_282,Secondary,Laborer,95933,59,61,79,84,87,87,42,59,36,79,673,67.3,89.52,Yes,2
S1283,Student_283,Male,29-08-2005,19,Uttar Pradesh,District C,City X,838447,ST,Urban,Regional,Sch103,School_3,Private,ICSE,7,C,Commerce,Father_283,Mother_283,PG,Teacher,50957,48,78,35,46,89,81,65,35,75,75,627,62.7,95.81,No,5
S1284,Student_284,Female,07-10-2009,15,Uttar Pradesh,District B,City Z,485134,SC,Urban,Hindi,Sch104,School_4,Private,CBSE,8,B,Commerce,Father_284,Mother_284,Primary,Engineer,87864,97,89,47,99,47,75,99,53,62,72,740,74,69.42,No,6
S1285,Student_285,Male,07-07-2009,15,Maharashtra,District A,City X,449173,OBC,Urban,English,Sch105,School_5,Govt,State,6,B,Commerce,Father_285,Mother_285,Primary,Business,48739,99,75,48,80,96,42,62,95,37,39,673,67.3,79.82,No,2
S1286,Student_286,Male,29-10-2005,19,West Bengal,District A,City Z,644999,OBC,Urban,Hindi,Sch106,School_6,Private,State,9,A,Commerce,Father_286,Mother_286,Graduate,Engineer,43733,62,97,80,37,46,46,86,69,34,49,606,60.6,75.03,No,2
S1287,Student_287,Male,19-01-2009,15,Delhi,District B,City Y,679250,GEN,Urban,Regional,Sch107,School_7,Govt,ICSE,10,A,Science,Father_287,Mother_287,Graduate,Business,50389,51,70,95,90,63,96,84,44,90,45,728,72.8,99.08,No,10
S1288,Student_288,Male,09-03-2006,18,Karnataka,District B,City X,120039,SC,Rural,English,Sch108,School_8,Private,State,9,C,Commerce,Father_288,Mother_288,PG,Business,34715,65,96,32,39,59,90,42,82,89,32,626,62.6,91.55,Yes,4
S1289,Student_289,Female,06-08-2007,17,West Bengal,District A,City Y,660849,OBC,Rural,Regional,Sch109,School_9,Govt,State,10,C,Science,Father_289,Mother_289,PG,Engineer,44116,52,42,83,48,48,94,80,34,53,59,593,59.3,95.59,Yes,8
S1290,Student_290,Male,12-04-2005,19,Uttar Pradesh,District B,City Y,306555,ST,Urban,Regional,Sch110,School_10,Govt,CBSE,6,A,Commerce,Father_290,Mother_290,None,Laborer,61922,92,47,78,43,38,82,82,65,36,47,610,61,62.72,No,5
S1291,Student_291,Male,11-02-2008,16,Bihar,District A,City X,591087,OBC,Rural,Hindi,Sch111,School_11,Govt,State,9,C,Science,Father_291,Mother_291,Primary,Farmer,61251,55,80,57,96,69,34,65,75,90,88,709,70.9,88.63,Yes,9
S1292,Student_292,Male,15-10-2009,15,Delhi,District B,City Z,319730,GEN,Rural,Regional,Sch112,School_12,Govt,CBSE,6,C,Commerce,Father_292,Mother_292,PG,Laborer,66794,89,65,67,84,73,61,34,52,65,99,689,68.9,63.27,Yes,4
S1293,Student_293,Female,16-06-2005,19,Uttar Pradesh,District B,City X,101577,GEN,Rural,English,Sch113,School_13,Govt,ICSE,10,A,Commerce,Father_293,Mother_293,Secondary,Farmer,22580,34,63,57,90,88,74,54,74,56,64,654,65.4,60.44,Yes,3
S1294,Student_294,Female,18-04-2004,20,Bihar,District B,City Y,207792,SC,Urban,Regional,Sch114,School_14,Private,State,7,B,Commerce,Father_294,Mother_294,None,Teacher,5823,83,41,61,85,54,85,66,39,58,48,620,62,97.21,Yes,10
S1295,Student_295,Female,05-02-2004,20,West Bengal,District A,City Y,872268,GEN,Urban,Regional,Sch115,School_15,Govt,CBSE,9,C,Commerce,Father_295,Mother_295,PG,Business,97008,67,34,70,92,82,34,48,83,49,55,614,61.4,50.97,Yes,8
S1296,Student_296,Female,20-08-2007,17,Maharashtra,District B,City Z,338540,OBC,Urban,Hindi,Sch116,School_16,Private,State,6,A,Arts,Father_296,Mother_296,Graduate,Engineer,12084,91,77,65,40,77,63,64,99,99,64,739,73.9,98.27,No,1
S1297,Student_297,Male,17-08-2006,18,Maharashtra,District A,City X,328506,OBC,Rural,Regional,Sch117,School_17,Govt,CBSE,11,C,Commerce,Father_297,Mother_297,PG,Teacher,82991,54,69,65,76,82,90,63,61,32,86,678,67.8,57.46,No,9
S1298,Student_298,Male,19-12-2007,17,Delhi,District A,City Y,836777,OBC,Rural,Hindi,Sch118,School_18,Govt,ICSE,9,C,Science,Father_298,Mother_298,Graduate,Farmer,15607,41,42,95,35,78,91,83,72,68,78,683,68.3,90.97,Yes,4
S1299,Student_299,Female,13-06-2007,17,Uttar Pradesh,District B,City Y,110785,OBC,Urban,Hindi,Sch119,School_19,Private,CBSE,9,A,Arts,Father_299,Mother_299,Graduate,Laborer,87455,51,55,39,63,72,98,75,44,74,39,610,61,63.8,Yes,9
S1300,Student_300,Male,14-03-2007,17,Tamil Nadu,District B,City Y,172227,SC,Urban,English,Sch100,School_0,Govt,State,9,C,Arts,Father_300,Mother_300,Primary,Engineer,89930,38,43,99,94,48,92,35,95,97,58,699,69.9,67.54,No,8
S1301,Student_301,Male,16-05-2007,17,Bihar,District A,City Z,948389,ST,Rural,English,Sch101,School_1,Govt,CBSE,8,C,Commerce,Father_301,Mother_301,Primary,Business,81355,58,40,92,93,95,73,30,44,60,97,682,68.2,60.84,No,3
S1302,Student_302,Male,18-12-2008,16,Karnataka,District A,City Y,689719,ST,Rural,English,Sch102,School_2,Govt,State,6,C,Science,Father_302,Mother_302,PG,Teacher,16969,73,67,51,95,63,57,63,49,67,53,638,63.8,79.28,No,3
S1303,Student_303,Female,10-03-2008,16,Uttar Pradesh,District C,City Y,510513,SC,Urban,English,Sch103,School_3,Govt,ICSE,6,B,Science,Father_303,Mother_303,PG,Business,68059,56,86,49,60,83,99,85,79,35,72,704,70.4,67.4,No,9
S1304,Student_304,Female,15-07-2005,19,Karnataka,District A,City X,958326,GEN,Rural,Hindi,Sch104,School_4,Private,CBSE,9,B,Arts,Father_304,Mother_304,Secondary,Farmer,22333,84,51,62,91,30,42,55,35,37,68,555,55.5,82.87,Yes,3
S1305,Student_305,Male,25-09-2004,20,Uttar Pradesh,District C,City X,347941,ST,Rural,Regional,Sch105,School_5,Govt,State,7,C,Science,Father_305,Mother_305,None,Business,82236,34,45,44,83,84,72,71,46,57,54,590,59,50.78,No,4
S1306,Student_306,Female,18-02-2007,17,Tamil Nadu,District C,City Y,819132,GEN,Rural,English,Sch106,School_6,Govt,State,9,A,Commerce,Father_306,Mother_306,None,Laborer,41668,81,58,36,37,44,59,67,55,44,97,578,57.8,53.22,No,9
S1307,Student_307,Female,12-11-2005,19,Tamil Nadu,District C,City Y,250653,ST,Rural,English,Sch107,School_7,Private,State,8,C,Commerce,Father_307,Mother_307,PG,Teacher,16945,42,31,79,71,44,55,55,51,37,63,528,52.8,54.98,Yes,4
S1308,Student_308,Female,09-05-2004,20,Delhi,District B,City X,417336,GEN,Rural,English,Sch108,School_8,Private,CBSE,10,C,Commerce,Father_308,Mother_308,Primary,Teacher,51526,71,83,39,70,52,92,88,93,83,82,753,75.3,70.95,No,3
S1309,Student_309,Female,05-01-2009,16,Delhi,District B,City Z,363606,SC,Rural,Regional,Sch109,School_9,Govt,CBSE,8,B,Commerce,Father_309,Mother_309,Secondary,Laborer,52717,44,31,66,88,95,86,53,87,35,84,669,66.9,90.74,No,7
S1310,Student_310,Female,27-01-2006,18,Tamil Nadu,District A,City Z,490992,OBC,Rural,English,Sch110,School_10,Govt,CBSE,7,B,Commerce,Father_310,Mother_310,None,Business,64426,47,32,88,69,75,93,50,66,58,82,660,66,94.41,No,6
S1311,Student_311,Male,08-06-2008,16,Rajasthan,District C,City Z,819533,GEN,Urban,Regional,Sch111,School_11,Private,ICSE,9,B,Arts,Father_311,Mother_311,PG,Laborer,89166,79,85,92,51,38,78,89,57,63,47,679,67.9,62.24,No,1
S1312,Student_312,Female,29-05-2009,15,Tamil Nadu,District B,City Z,438250,OBC,Urban,Hindi,Sch112,School_12,Govt,State,6,C,Commerce,Father_312,Mother_312,Primary,Engineer,95480,31,40,50,53,95,81,49,78,36,36,549,54.9,78.72,No,10
S1313,Student_313,Male,20-09-2004,20,Maharashtra,District B,City Z,410809,GEN,Rural,Hindi,Sch113,School_13,Private,State,11,C,Commerce,Father_313,Mother_313,Primary,Laborer,93896,42,61,66,67,95,92,35,96,69,92,715,71.5,88.42,Yes,8
S1314,Student_314,Male,18-08-2009,15,Maharashtra,District B,City Z,799774,GEN,Rural,Hindi,Sch114,School_14,Govt,ICSE,9,A,Arts,Father_314,Mother_314,Primary,Business,83349,97,33,74,31,47,42,96,96,42,71,629,62.9,64.44,Yes,1
S1315,Student_315,Female,19-07-2006,18,Rajasthan,District B,City Z,443154,GEN,Rural,Regional,Sch115,School_15,Private,ICSE,7,C,Arts,Father_315,Mother_315,Graduate,Laborer,9601,76,38,43,70,46,74,39,70,91,40,587,58.7,70.45,Yes,4
S1316,Student_316,Male,19-02-2004,20,West Bengal,District B,City Z,696861,GEN,Urban,English,Sch116,School_16,Private,CBSE,6,C,Arts,Father_316,Mother_316,Primary,Farmer,17930,79,85,72,48,63,75,41,75,94,38,670,67,76.2,Yes,6
S1317,Student_317,Male,08-03-2009,15,Bihar,District C,City X,324737,GEN,Urban,English,Sch117,School_17,Private,CBSE,8,B,Science,Father_317,Mother_317,PG,Laborer,9333,41,45,62,31,98,70,51,84,70,64,616,61.6,56.74,Yes,6
S1318,Student_318,Male,26-10-2008,16,West Bengal,District C,City Z,994235,OBC,Rural,English,Sch118,School_18,Govt,CBSE,10,B,Science,Father_318,Mother_318,Secondary,Laborer,75935,42,39,32,91,93,75,91,40,71,94,668,66.8,51.3,No,7
S1319,Student_319,Female,27-02-2008,16,Karnataka,District C,City Z,743970,GEN,Urban,English,Sch119,School_19,Govt,CBSE,10,B,Commerce,Father_319,Mother_319,PG,Business,22839,38,65,73,45,73,30,90,55,95,34,598,59.8,57.64,No,5
S1320,Student_320,Female,16-09-2005,19,West Bengal,District C,City Z,637674,OBC,Rural,English,Sch100,School_0,Govt,CBSE,9,B,Commerce,Father_320,Mother_320,Primary,Engineer,56337,88,53,64,51,58,97,46,42,40,55,594,59.4,81.34,No,5
S1321,Student_321,Male,08-12-2009,15,Uttar Pradesh,District A,City Y,486213,SC,Rural,Regional,Sch101,School_1,Govt,CBSE,8,B,Commerce,Father_321,Mother_321,Secondary,Engineer,45204,74,93,54,43,91,41,39,65,79,80,659,65.9,53.68,No,4
S1322,Student_322,Female,22-11-2007,17,West Bengal,District C,City X,154460,ST,Rural,Hindi,Sch102,School_2,Private,ICSE,11,A,Science,Father_322,Mother_322,None,Business,25195,99,85,37,85,45,64,41,93,64,67,680,68,59.48,No,6
S1323,Student_323,Female,10-05-2009,15,Uttar Pradesh,District B,City X,499437,GEN,Rural,English,Sch103,School_3,Private,ICSE,11,A,Commerce,Father_323,Mother_323,None,Business,32848,72,51,91,94,81,62,69,80,49,32,681,68.1,66.89,No,7
S1324,Student_324,Female,02-08-2004,20,Rajasthan,District C,City X,516690,ST,Rural,Hindi,Sch104,School_4,Private,ICSE,7,A,Commerce,Father_324,Mother_324,PG,Business,94229,52,81,47,74,31,87,52,51,57,88,620,62,53.89,No,10
S1325,Student_325,Female,20-06-2004,20,Maharashtra,District A,City Z,215375,OBC,Rural,Regional,Sch105,School_5,Govt,State,10,B,Science,Father_325,Mother_325,Secondary,Farmer,45854,74,79,57,83,90,64,69,89,66,42,713,71.3,59.58,No,10
S1326,Student_326,Male,15-09-2009,15,Delhi,District B,City Z,999092,SC,Rural,Regional,Sch106,School_6,Govt,State,8,B,Arts,Father_326,Mother_326,PG,Teacher,55998,52,76,41,95,33,75,79,31,32,64,578,57.8,95.56,No,1
S1327,Student_327,Male,12-04-2006,18,Uttar Pradesh,District C,City Y,252117,SC,Urban,English,Sch107,School_7,Govt,CBSE,9,B,Science,Father_327,Mother_327,Secondary,Laborer,72390,63,52,93,75,81,95,39,85,88,32,703,70.3,50.96,No,9
S1328,Student_328,Female,27-07-2008,16,Maharashtra,District C,City X,977751,SC,Rural,Regional,Sch108,School_8,Private,ICSE,6,A,Commerce,Father_328,Mother_328,Secondary,Business,36558,45,48,31,62,70,73,33,69,56,82,569,56.9,82.67,No,8
S1329,Student_329,Female,17-10-2004,20,Bihar,District C,City Z,216582,ST,Urban,Hindi,Sch109,School_9,Govt,State,9,B,Science,Father_329,Mother_329,PG,Business,7985,92,81,88,79,81,55,30,57,61,84,708,70.8,69.22,No,7
S1330,Student_330,Male,19-12-2008,16,Karnataka,District B,City X,598909,OBC,Rural,English,Sch110,School_10,Govt,State,9,A,Arts,Father_330,Mother_330,Secondary,Business,66794,80,63,66,51,60,71,72,32,77,74,646,64.6,83.63,No,9
S1331,Student_331,Male,12-10-2004,20,Bihar,District B,City Y,867303,GEN,Rural,English,Sch111,School_11,Private,ICSE,8,B,Arts,Father_331,Mother_331,Primary,Engineer,48585,61,58,33,69,55,59,34,92,75,95,631,63.1,79.43,Yes,3
S1332,Student_332,Female,26-04-2005,19,Rajasthan,District A,City Y,778066,GEN,Urban,Hindi,Sch112,School_12,Private,State,10,C,Arts,Father_332,Mother_332,Secondary,Business,89814,67,90,70,68,56,61,63,52,76,96,699,69.9,61.17,No,10
S1333,Student_333,Male,21-09-2007,17,West Bengal,District B,City Y,929203,OBC,Urban,English,Sch113,School_13,Govt,State,8,A,Arts,Father_333,Mother_333,Secondary,Laborer,45264,85,64,74,70,80,65,95,84,69,73,759,75.9,92.36,Yes,4
S1334,Student_334,Female,29-05-2004,20,West Bengal,District B,City X,676623,ST,Rural,English,Sch114,School_14,Private,ICSE,6,C,Arts,Father_334,Mother_334,PG,Business,38326,98,34,63,97,77,48,53,61,32,97,660,66,74.6,No,7
S1335,Student_335,Female,26-10-2008,16,Tamil Nadu,District C,City Z,853375,GEN,Urban,Hindi,Sch115,School_15,Govt,State,8,A,Arts,Father_335,Mother_335,None,Laborer,89816,46,36,42,36,40,51,43,57,58,91,500,50,91.13,No,6
S1336,Student_336,Male,05-02-2005,19,Tamil Nadu,District B,City Z,152949,OBC,Rural,English,Sch116,School_16,Private,ICSE,7,B,Commerce,Father_336,Mother_336,Graduate,Farmer,64261,68,70,36,33,37,94,70,37,87,54,586,58.6,70.3,No,2
S1337,Student_337,Male,28-11-2004,20,Tamil Nadu,District C,City Y,563930,GEN,Rural,English,Sch117,School_17,Private,State,9,B,Commerce,Father_337,Mother_337,Secondary,Teacher,39022,70,31,61,88,41,86,71,32,79,81,640,64,99.23,Yes,2
S1338,Student_338,Female,14-10-2006,18,Bihar,District C,City Z,195558,SC,Urban,Hindi,Sch118,School_18,Private,ICSE,10,C,Science,Father_338,Mother_338,Graduate,Engineer,20667,77,39,52,55,74,40,42,82,39,79,579,57.9,88.52,Yes,10
S1339,Student_339,Female,30-10-2007,17,Uttar Pradesh,District B,City Y,508456,GEN,Urban,Regional,Sch119,School_19,Govt,State,11,B,Commerce,Father_339,Mother_339,Secondary,Laborer,23065,57,73,78,60,63,55,58,58,90,30,622,62.2,98.3,No,7
S1340,Student_340,Male,06-11-2004,20,Karnataka,District A,City X,988704,ST,Urban,Hindi,Sch100,School_0,Govt,State,6,A,Arts,Father_340,Mother_340,PG,Farmer,92191,79,99,76,98,76,77,94,88,90,68,845,84.5,75.72,No,9
S1341,Student_341,Female,27-07-2005,19,Tamil Nadu,District A,City Y,889148,OBC,Urban,English,Sch101,School_1,Govt,ICSE,11,B,Commerce,Father_341,Mother_341,PG,Teacher,15006,30,64,66,81,50,48,75,53,52,81,600,60,73.68,No,9
S1342,Student_342,Male,16-04-2006,18,Rajasthan,District B,City X,247646,ST,Rural,Hindi,Sch102,School_2,Private,State,9,B,Science,Father_342,Mother_342,Secondary,Teacher,76819,79,91,77,50,70,41,63,67,35,69,642,64.2,87.77,No,7
S1343,Student_343,Female,07-06-2009,15,Rajasthan,District A,City Y,867175,OBC,Urban,English,Sch103,School_3,Private,ICSE,8,A,Arts,Father_343,Mother_343,PG,Teacher,50076,48,49,58,45,51,96,92,57,89,89,674,67.4,94.01,Yes,8
S1344,Student_344,Male,01-05-2005,19,Tamil Nadu,District C,City Z,566933,SC,Urban,English,Sch104,School_4,Private,ICSE,11,C,Commerce,Father_344,Mother_344,PG,Laborer,73861,88,64,66,80,50,85,33,91,56,98,711,71.1,98.21,Yes,10
